"","Pref","West","Age_c","Union","Abi","Job","pol_interest","DemoHappy","Religion_cath","Religion_rest"
"114",1,1,-11.5112743,1,0,1,0,1,0,0
"115",1,1,-4.5112748,0,0,0,1,1,1,0
"116",0,1,4.4887252,0,0,1,1,1,0,0
"117",0,1,11.4887257,0,0,1,1,1,0,0
"118",0,1,13.4887257,0,0,1,1,1,1,0
"119",0,1,-18.5112743,0,0,1,1,1,0,0
"120",0,1,7.4887252,0,0,1,1,1,0,0
"121",1,1,15.4887257,0,0,1,1,1,1,0
"122",1,1,-4.5112748,0,0,0,1,1,1,0
"123",1,1,21.4887257,0,0,1,0,0,1,0
"124",0,1,29.4887257,0,0,1,1,0,1,0
"125",0,1,-11.5112743,0,1,1,0,0,1,0
"126",0,1,9.4887257,0,0,1,1,1,0,1
"127",1,1,9.4887257,0,0,1,1,1,1,0
"128",1,1,3.4887252,1,0,1,1,0,0,0
"129",0,1,0.4887253,0,0,0,1,1,1,0
"130",0,1,-0.5112748,1,1,1,1,1,0,0
"131",1,1,-13.5112743,0,0,1,1,1,1,0
"132",1,1,20.4887257,0,0,1,0,1,1,0
"133",1,1,18.4887257,0,0,1,1,1,1,0
"134",0,1,17.4887257,0,0,1,1,1,1,0
"135",0,1,30.4887257,0,0,1,1,1,1,0
"136",1,1,26.4887257,0,0,1,1,1,1,0
"137",1,1,19.4887257,0,0,1,1,1,0,0
"138",1,1,1.4887253,0,0,1,0,1,1,0
"139",1,1,-0.5112748,0,0,1,0,1,0,1
"140",1,1,-8.5112743,1,0,1,1,0,0,1
"141",0,1,7.4887252,0,0,1,1,1,0,1
"142",0,1,12.4887257,0,0,1,0,0,0,0
"143",0,1,28.4887257,0,0,1,0,0,0,1
"144",0,1,19.4887257,0,0,1,0,0,1,0
"145",0,1,1.4887253,1,0,1,0,1,1,0
"146",1,1,17.4887257,0,1,1,0,0,0,0
"147",0,1,0.4887253,0,0,1,0,1,0,0
"148",0,1,8.4887257,0,0,1,1,0,1,0
"149",1,1,-0.5112748,0,0,1,1,1,1,0
"150",0,1,0.4887253,1,0,1,1,0,1,0
"151",1,1,13.4887257,0,0,1,1,1,1,0
"152",0,1,17.4887257,0,0,1,0,0,1,0
"153",1,1,21.4887257,0,0,1,0,1,1,0
"154",0,1,26.4887257,0,0,1,1,0,1,0
"155",1,1,10.4887257,0,0,1,0,0,1,0
"156",0,1,11.4887257,0,0,1,1,0,1,0
"157",1,1,-21.5112743,0,0,1,0,0,0,0
"158",0,1,3.4887252,1,0,1,0,0,0,0
"159",1,1,-24.5112743,0,0,1,0,0,1,0
"160",0,1,0.4887253,0,0,1,0,0,1,0
"161",1,1,17.4887257,0,0,1,0,1,1,0
"162",0,1,17.4887257,0,0,1,1,0,1,0
"163",1,1,-15.5112743,0,0,1,1,0,0,0
"164",0,1,-8.5112743,0,0,1,0,0,0,0
"165",0,1,0.4887253,0,0,1,0,0,1,0
"166",0,1,1.4887253,0,0,1,0,0,1,0
"167",0,1,-1.5112747,0,0,1,1,1,1,0
"168",0,1,23.4887257,0,0,1,1,1,1,0
"169",0,1,10.4887257,0,0,1,1,1,1,0
"170",1,1,-8.5112743,0,0,1,1,1,0,1
"171",0,1,20.4887257,0,0,1,0,0,1,0
"172",0,1,28.4887257,0,0,1,1,0,1,0
"173",0,1,7.4887252,0,0,1,0,0,1,0
"174",1,1,8.4887257,1,0,1,0,0,0,0
"175",0,1,-0.5112748,0,0,1,1,0,1,0
"176",1,1,-9.5112743,0,0,1,1,1,0,1
"177",1,1,-15.5112743,0,0,1,1,1,0,0
"178",1,1,-10.5112743,1,0,1,1,1,1,0
"179",0,1,-1.5112747,1,0,1,1,1,1,0
"180",0,1,8.4887257,0,0,1,1,1,1,0
"181",0,1,-5.5112748,1,0,1,1,1,0,0
"182",0,1,20.4887257,0,0,1,1,0,0,0
"183",0,1,18.4887257,0,1,1,1,0,0,0
"184",1,1,0.4887253,1,0,1,1,1,1,0
"185",0,1,6.4887252,1,0,1,1,1,0,0
"186",0,1,18.4887257,0,0,1,1,1,0,1
"187",1,1,-27.5112743,1,0,1,1,0,1,0
"188",1,1,-7.5112748,1,0,1,1,1,0,0
"189",0,1,-29.5112743,0,1,1,1,0,0,0
"190",1,1,30.4887257,0,0,1,1,1,0,0
"191",1,1,-28.5112743,1,0,1,1,0,0,0
"192",0,1,-4.5112748,1,0,1,0,0,1,0
"193",0,1,2.4887252,1,0,1,1,1,1,0
"194",0,1,6.4887252,0,0,1,1,1,1,0
"195",0,1,-9.5112743,1,0,1,1,1,1,0
"196",1,1,-28.5112743,0,1,1,1,1,0,1
"197",0,1,-7.5112748,0,0,1,1,1,0,1
"198",0,1,19.4887257,0,0,1,1,1,1,0
"199",0,1,10.4887257,1,1,1,0,0,0,0
"200",1,1,26.4887257,0,0,1,0,1,1,0
"201",1,1,-14.5112743,1,0,1,1,1,1,0
"202",0,1,20.4887257,0,0,1,0,1,1,0
"203",1,1,-1.5112747,0,1,1,0,0,0,1
"204",0,1,8.4887257,0,1,1,0,0,0,1
"205",0,1,21.4887257,0,0,1,1,1,0,1
"206",0,1,-10.5112743,0,0,1,1,1,1,0
"207",1,1,-29.5112743,0,0,1,1,1,0,1
"208",0,1,29.4887257,0,0,1,1,1,1,0
"209",0,1,18.4887257,0,0,1,1,1,1,0
"210",0,1,-6.5112748,0,0,1,0,0,0,0
"211",0,1,-15.5112743,0,0,1,1,0,0,1
"212",1,1,3.4887252,0,0,1,1,0,1,0
"213",0,1,-5.5112748,1,0,1,1,0,0,0
"214",1,1,-13.5112743,0,0,1,1,1,1,0
"215",1,1,-27.5112743,0,0,1,1,1,0,0
"216",1,1,-5.5112748,1,0,1,1,1,1,0
"217",0,1,16.4887257,0,0,1,1,1,0,0
"218",0,1,20.4887257,0,0,1,1,0,1,0
"219",0,1,18.4887257,0,1,1,1,0,1,0
"220",0,1,19.4887257,0,1,1,1,0,1,0
"221",0,1,6.4887252,0,0,1,1,1,0,1
"222",0,1,2.4887252,0,0,1,1,1,1,0
"223",0,1,-16.5112743,0,1,1,1,0,1,0
"224",0,1,10.4887257,0,0,1,1,1,1,0
"225",0,1,21.4887257,0,0,1,0,1,1,0
"226",0,1,-16.5112743,0,0,1,0,0,0,1
"227",1,1,15.4887257,0,0,1,0,1,1,0
"228",0,1,-14.5112743,1,0,1,0,0,0,0
"229",1,1,9.4887257,1,0,1,0,0,0,0
"230",0,1,22.4887257,0,0,1,0,0,1,0
"231",0,1,25.4887257,0,0,1,1,0,1,0
"232",0,1,28.4887257,0,0,1,0,1,1,0
"233",1,1,-8.5112743,1,0,1,0,1,1,0
"234",1,1,-1.5112747,1,0,1,0,1,1,0
"235",0,1,-13.5112743,0,0,1,1,0,1,0
"236",0,1,-8.5112743,0,0,1,1,0,1,0
"237",1,1,-5.5112748,1,0,1,0,0,1,0
"238",1,1,-1.5112747,1,1,1,0,0,0,1
"239",0,1,32.4887238,0,0,1,1,0,1,0
"240",0,1,-8.5112743,0,0,1,0,1,1,0
"241",1,1,-6.5112748,0,0,1,0,0,1,0
"242",0,1,-7.5112748,0,1,1,1,0,1,0
"243",0,1,-4.5112748,0,1,1,1,0,1,0
"244",0,1,-0.5112748,0,0,1,1,0,1,0
"245",0,1,-22.5112743,0,0,1,1,0,1,0
"246",0,1,2.4887252,0,0,1,1,0,1,0
"247",0,1,-11.5112743,0,0,1,1,1,0,0
"248",1,1,-10.5112743,0,0,1,1,1,1,0
"249",1,1,2.4887252,0,0,1,1,1,1,0
"250",0,1,18.4887257,0,0,1,1,1,1,0
"251",0,1,0.4887253,0,0,1,1,1,1,0
"252",1,1,22.4887257,0,0,1,1,0,1,0
"253",0,1,24.4887257,0,0,1,1,1,1,0
"254",0,1,-20.5112743,0,1,1,1,0,0,1
"255",0,1,4.4887252,1,0,1,1,1,1,0
"256",1,1,30.4887257,0,0,1,1,1,1,0
"257",1,1,17.4887257,0,0,1,0,1,1,0
"258",1,1,-4.5112748,1,0,1,1,1,0,1
"259",1,1,10.4887257,1,0,1,1,1,1,0
"260",1,1,16.4887257,0,0,1,1,1,1,0
"261",1,1,12.4887257,0,0,1,1,1,1,0
"262",0,1,-2.5112748,0,0,1,1,1,1,0
"263",0,1,23.4887257,0,1,1,0,0,1,0
"264",0,1,28.4887257,0,0,1,1,0,0,1
"265",1,1,-0.5112748,0,0,0,1,1,1,0
"266",0,1,29.4887257,0,0,1,1,1,1,0
"267",0,1,29.4887257,0,0,1,1,1,1,0
"268",0,1,-0.5112748,1,0,1,1,1,1,0
"269",0,1,17.4887257,0,0,1,1,1,1,0
"270",0,1,-19.5112743,0,0,1,1,1,1,0
"271",0,1,-16.5112743,0,0,1,1,0,1,0
"272",0,1,23.4887257,0,1,1,0,0,1,0
"273",0,1,35.4887238,0,0,1,1,1,1,0
"274",0,1,-29.5112743,0,1,1,0,0,1,0
"275",0,1,23.4887257,0,0,1,1,1,1,0
"276",1,1,5.4887252,1,1,1,0,1,0,0
"277",0,1,26.4887257,0,0,1,1,1,1,0
"278",0,1,-5.5112748,0,0,1,0,1,0,1
"279",0,1,34.4887238,0,0,1,1,1,0,1
"280",1,1,23.4887257,0,0,1,1,1,0,0
"281",1,1,18.4887257,0,0,1,0,0,0,0
"282",1,1,3.4887252,1,0,0,0,0,0,0
"283",1,1,-0.5112748,1,0,0,1,1,0,0
"284",1,1,17.4887257,0,1,1,0,1,0,0
"285",0,1,-27.5112743,0,1,1,0,0,0,0
"286",1,1,9.4887257,1,1,1,0,1,0,0
"287",1,1,0.4887253,0,0,1,1,0,0,1
"288",0,1,22.4887257,0,1,1,0,0,0,0
"289",0,1,18.4887257,0,0,1,1,0,0,0
"290",0,1,28.4887257,0,0,1,1,0,0,0
"291",1,1,21.4887257,0,0,1,1,0,1,0
"292",1,1,-6.5112748,0,0,1,1,1,0,0
"293",1,1,-0.5112748,0,0,1,1,0,0,0
"294",1,1,15.4887257,0,0,1,0,0,1,0
"295",1,1,-9.5112743,0,0,1,1,0,1,0
"296",1,1,-16.5112743,0,1,1,1,0,1,0
"297",1,1,-19.5112743,0,1,1,1,0,0,1
"298",1,1,-19.5112743,0,1,1,1,0,0,1
"299",1,1,-10.5112743,0,0,1,1,1,0,0
"300",1,1,-30.5112743,0,0,1,1,0,0,0
"301",0,1,-7.5112748,0,0,1,0,0,1,0
"302",1,1,-10.5112743,0,0,1,1,0,0,1
"303",0,1,0.4887253,0,1,1,0,0,0,1
"304",1,1,-24.5112743,1,0,1,1,1,0,1
"305",0,1,-4.5112748,0,0,1,0,1,1,0
"306",0,1,21.4887257,0,1,1,0,0,0,0
"307",0,1,-28.5112743,0,1,1,1,0,1,0
"308",0,1,17.4887257,0,0,1,1,1,1,0
"309",0,1,-4.5112748,0,0,0,1,1,1,0
"310",0,1,-2.5112748,0,0,1,1,0,0,1
"311",0,1,37.4887238,0,0,1,1,1,1,0
"312",1,1,28.4887257,0,0,1,1,1,0,1
"313",0,1,0.4887253,0,0,1,1,1,0,0
"314",1,1,3.4887252,0,0,1,1,1,0,0
"315",0,1,-16.5112743,0,0,1,1,1,0,0
"316",1,1,-13.5112743,0,0,1,1,1,0,0
"317",1,1,-16.5112743,0,0,1,1,1,1,0
"318",1,1,-19.5112743,0,0,1,0,1,1,0
"319",0,1,0.4887253,0,0,1,1,1,0,0
"320",0,1,22.4887257,0,0,1,0,1,0,0
"321",1,1,19.4887257,0,0,1,0,1,1,0
"322",1,1,5.4887252,0,0,1,1,1,0,0
"323",0,1,27.4887257,0,0,1,1,1,0,0
"324",0,1,11.4887257,0,0,1,0,1,0,0
"325",1,1,15.4887257,0,0,1,1,1,0,0
"326",0,1,18.4887257,0,0,1,0,0,1,0
"327",0,1,-3.5112748,0,0,1,0,0,1,0
"328",0,1,-30.5112743,0,0,1,1,0,0,0
"329",0,1,-19.5112743,0,1,1,1,1,0,0
"330",0,1,7.4887252,0,0,1,1,1,0,1
"331",1,1,-10.5112743,0,0,1,1,1,1,0
"332",1,1,-28.5112743,0,1,1,1,0,1,0
"333",1,1,5.4887252,0,0,1,0,1,0,1
"334",1,1,33.4887238,0,0,1,1,0,0,0
"335",1,1,35.4887238,0,0,1,1,1,0,0
"336",1,1,37.4887238,0,0,1,1,0,1,0
"337",1,1,26.4887257,0,0,1,1,1,1,0
"338",1,1,23.4887257,0,0,1,1,0,0,0
"339",1,1,0.4887253,0,0,1,1,1,1,0
"340",0,1,14.4887257,0,1,1,1,1,0,1
"341",0,1,19.4887257,0,0,1,1,0,1,0
"342",0,1,17.4887257,0,0,1,0,0,1,0
"343",1,1,-0.5112748,0,0,1,1,1,1,0
"344",1,1,11.4887257,0,0,1,1,1,1,0
"345",0,1,3.4887252,0,0,1,1,0,0,0
"346",0,1,14.4887257,0,0,1,1,0,0,0
"347",0,1,12.4887257,0,0,1,1,1,0,0
"348",0,1,26.4887257,0,0,1,1,0,1,0
"349",0,1,19.4887257,0,0,1,1,0,0,0
"350",1,1,16.4887257,0,0,1,1,1,1,0
"351",0,1,12.4887257,0,0,1,1,0,1,0
"352",0,0,19.4887257,0,0,1,1,1,0,1
"353",1,0,-10.5112743,0,1,1,1,1,0,0
"354",0,0,-13.5112743,0,1,1,1,0,0,1
"355",0,0,-19.5112743,0,0,1,1,1,0,0
"356",0,0,19.4887257,0,0,1,0,0,0,0
"357",0,0,29.4887257,0,0,1,1,1,0,0
"358",0,0,10.4887257,0,1,1,0,0,0,0
"359",1,0,-21.5112743,0,1,1,0,0,0,1
"360",0,0,16.4887257,0,0,1,0,1,0,1
"361",0,0,-8.5112743,0,0,1,0,1,0,0
"362",1,0,6.4887252,0,1,1,1,1,0,1
"363",0,0,5.4887252,0,1,1,0,0,0,0
"364",0,0,15.4887257,0,0,1,1,1,0,0
"365",0,0,28.4887257,0,0,1,1,1,0,1
"366",1,0,2.4887252,1,0,1,1,0,0,0
"367",1,0,7.4887252,0,0,1,0,1,0,0
"368",0,0,14.4887257,0,0,1,1,0,0,0
"369",0,0,0.4887253,0,0,1,0,1,0,1
"370",0,0,-12.5112743,0,0,0,1,1,0,1
"371",1,0,1.4887253,1,1,1,1,0,0,1
"372",0,0,10.4887257,0,0,1,1,1,0,1
"373",0,0,-6.5112748,0,0,1,1,1,0,1
"374",1,0,-22.5112743,0,1,1,0,0,0,1
"375",0,0,16.4887257,0,0,1,1,1,0,1
"376",0,0,-6.5112748,0,0,1,1,1,0,1
"377",0,0,14.4887257,0,0,1,0,0,0,0
"378",1,0,-16.5112743,0,0,0,0,0,0,1
"379",1,0,8.4887257,0,0,0,1,1,0,1
"380",0,0,-29.5112743,0,1,1,1,0,0,0
"381",0,0,-16.5112743,0,0,1,1,1,0,0
"382",1,0,2.4887252,0,0,1,0,1,0,0
"383",0,0,-7.5112748,0,0,1,0,1,0,1
"384",1,0,-20.5112743,0,1,1,1,0,0,1
"385",0,0,15.4887257,0,1,1,0,0,0,0
"386",0,0,1.4887253,0,1,1,0,0,0,1
"387",0,0,20.4887257,0,1,1,1,0,0,0
"388",0,0,-22.5112743,0,1,1,1,0,0,0
"389",0,0,30.4887257,0,0,1,0,1,0,0
"390",0,0,5.4887252,0,0,1,1,1,0,0
"391",0,0,19.4887257,0,0,1,0,1,0,1
"392",0,0,32.4887238,0,0,1,0,1,0,0
"393",0,0,8.4887257,0,1,1,0,1,0,1
"394",0,0,-18.5112743,0,1,1,1,1,0,1
"395",1,0,-18.5112743,0,1,1,1,0,0,1
"396",0,0,-17.5112743,0,1,1,0,0,0,1
"397",0,0,-8.5112743,0,1,1,0,0,0,1
"398",0,0,16.4887257,0,1,1,1,0,0,1
"399",1,0,-27.5112743,0,1,1,1,0,0,1
"400",0,0,20.4887257,0,1,1,0,1,0,1
"401",0,0,2.4887252,0,0,1,1,1,0,1
"402",1,0,4.4887252,1,0,1,1,0,0,1
"403",1,0,17.4887257,0,0,1,1,1,0,1
"404",1,0,4.4887252,0,0,1,1,1,0,1
"405",0,0,9.4887257,0,0,1,1,0,0,1
"406",1,0,-12.5112743,0,0,1,0,1,0,1
"407",0,0,33.4887238,0,0,1,1,1,0,0
"408",0,0,5.4887252,0,1,1,0,1,0,1
"409",1,0,-8.5112743,0,0,1,1,1,0,1
"410",0,0,-7.5112748,0,1,1,0,0,0,1
"411",1,0,8.4887257,0,0,0,1,1,0,0
"412",0,0,20.4887257,0,0,1,1,0,0,1
"413",0,0,-4.5112748,0,0,1,1,1,0,1
"414",0,0,5.4887252,0,0,1,1,1,0,0
"415",1,0,20.4887257,0,0,1,1,1,0,1
"416",0,0,-2.5112748,0,1,1,1,0,0,0
"417",1,0,-2.5112748,0,0,1,1,1,0,0
"418",1,0,-1.5112747,0,0,1,0,1,0,0
"419",0,0,-23.5112743,0,1,1,0,0,0,0
"420",0,0,23.4887257,0,0,1,0,1,0,1
"421",0,0,3.4887252,0,1,1,0,0,1,0
"422",1,0,-8.5112743,0,0,1,1,0,0,0
"423",1,0,-28.5112743,1,0,1,1,1,0,0
"424",0,0,-10.5112743,0,1,1,0,1,1,0
"425",0,0,-4.5112748,0,1,1,1,0,0,0
"426",0,0,-24.5112743,0,0,1,1,0,0,0
"427",1,0,-4.5112748,0,0,0,1,1,0,0
"428",0,0,-6.5112748,0,0,1,0,0,0,0
"429",0,0,28.4887257,0,0,1,1,1,0,1
"430",1,0,18.4887257,0,0,1,1,1,0,0
"431",0,0,3.4887252,0,0,1,1,1,0,1
"432",0,0,-18.5112743,0,0,1,1,0,1,0
"433",0,0,-8.5112743,1,0,1,1,0,1,0
"434",1,0,-11.5112743,1,0,1,1,0,0,0
"435",0,0,-4.5112748,0,0,1,1,0,1,0
"436",0,0,-21.5112743,0,0,1,1,0,1,0
"437",0,0,-4.5112748,0,0,1,1,0,1,0
"438",0,0,31.4887257,0,0,1,1,1,0,0
"439",1,0,25.4887257,0,0,1,1,0,0,0
"440",1,0,19.4887257,0,1,1,1,1,0,0
"441",1,0,-20.5112743,0,1,1,1,1,0,0
"442",1,0,18.4887257,0,0,1,1,0,0,0
"443",0,0,-3.5112748,0,0,1,1,0,1,0
"444",1,0,-27.5112743,0,1,1,1,0,0,1
"445",0,0,-28.5112743,0,0,1,1,1,0,1
"446",0,0,23.4887257,0,0,1,0,1,0,0
"447",1,0,-5.5112748,0,0,1,1,1,0,1
"448",0,0,16.4887257,0,0,1,1,1,0,0
"449",1,0,5.4887252,0,1,1,0,1,0,1
"450",0,0,11.4887257,0,0,1,1,1,0,1
"451",1,0,-4.5112748,0,1,1,0,1,0,1
"452",1,0,8.4887257,0,1,1,1,1,0,1
"453",0,0,-31.5112743,0,0,1,1,0,0,1
"454",0,0,-15.5112743,0,1,1,0,0,0,1
"455",0,0,-6.5112748,0,0,1,1,1,0,0
"456",0,0,3.4887252,0,1,1,0,0,0,1
"457",0,0,5.4887252,0,0,1,1,0,0,0
"458",1,0,21.4887257,0,0,1,1,1,0,1
"459",1,0,16.4887257,0,0,1,1,1,0,0
"460",0,0,18.4887257,0,0,1,1,1,0,0
"461",0,0,12.4887257,0,1,1,1,0,0,1
"462",0,0,1.4887253,0,1,1,1,0,0,0
"463",0,0,-4.5112748,0,0,1,1,0,0,1
"464",0,0,13.4887257,0,0,1,1,1,0,0
"465",0,0,4.4887252,0,1,1,1,1,0,1
"466",0,0,-3.5112748,1,0,1,1,1,0,1
"467",0,0,-8.5112743,1,0,1,1,0,0,1
"468",0,0,16.4887257,0,1,1,1,1,0,0
"469",0,0,-9.5112743,1,0,1,1,0,0,0
"470",1,0,-0.5112748,0,0,1,1,1,0,0
"471",1,0,18.4887257,0,0,1,1,1,0,0
"472",0,0,-12.5112743,0,0,1,0,0,1,0
"473",1,0,-15.5112743,1,1,1,0,0,0,0
"474",0,0,9.4887257,0,0,1,0,1,1,0
"475",1,0,2.4887252,0,0,1,0,1,0,1
"476",0,0,-2.5112748,0,0,1,0,1,0,1
"477",0,0,2.4887252,0,0,1,0,0,0,1
"478",0,0,6.4887252,1,0,1,1,1,0,1
"479",1,0,24.4887257,0,0,1,1,0,0,1
"480",0,0,19.4887257,0,0,1,1,1,0,1
"481",1,0,-0.5112748,0,0,1,1,1,0,1
